Number,Time
16,3.2425
17,1.7287
18,0.2504
19,1.526
20,0.3081
21,0.3244
22,0.3189
23,0.3359
24,0.3493
25,0.3536
26,0.4006
27,0.3995
28,0.4272
29,0.4058
30,0.4129
31,2.2563
32,0.4528
